%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869377252070307,7234,1580869377251012086,,0.1923,-0.0053,0.4863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377277815923,7235,1580869377276479005,,0.191,0.0014,0.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377302354008,7236,1580869377301342964,,0.1897,-0.0012,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377327413813,7237,1580869377326250076,,0.1845,0.0003,0.4859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377352450797,7238,1580869377351387977,,0.1909,-0.0092,0.4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377376680355,7239,1580869377375647068,,0.1949,-0.0014,0.4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377403378871,7240,1580869377400763988,,0.191,0.0014,0.4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377427173714,7241,1580869377426002979,,0.1911,0.0068,0.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377452415556,7242,1580869377450877904,,0.1924,0.0081,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377477248790,7243,1580869377475980043,,0.1923,-0.0053,0.4893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377501705066,7244,1580869377500699996,,0.1936,-0.004,0.4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377527853832,7245,1580869377526604890,,0.1781,-0.0022,0.5069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377552112466,7246,1580869377550968885,,0.1806,-0.0036,0.5146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377576548287,7247,1580869377575532913,,0.1832,-0.001,0.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377602129740,7248,1580869377601088047,,0.182,0.0004,0.5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377626513394,7249,1580869377625466108,,0.182,0.0057,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377651875233,7250,1580869377650599956,,0.1845,-0.0064,0.4981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377677152467,7251,1580869377676040887,,0.1807,-0.0009,0.5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377701955705,7252,1580869377700721979,,0.1846,0.0017,0.5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377727580028,7253,1580869377726427078,,0.1833,0.003,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377751571803,7254,1580869377750544071,,0.1794,0.0005,0.4963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377776819143,7255,1580869377775660037,,0.1833,0.007,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377802680050,7256,1580869377801431894,,0.1793,-0.0022,0.5024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377826868730,7257,1580869377825694084,,0.1806,-0.0022,0.4994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377852673947,7258,1580869377851545095,,0.1845,-0.0064,0.5026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377877080536,7259,1580869377875710964,,0.1794,0.0005,0.4993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377902687622,7260,1580869377901540994,,0.1846,0.0017,0.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377926890704,7261,1580869377926302909,,0.191,-0.0039,0.4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869377952579652,7262,1580869377951451063,,0.1858,-0.0024,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
